iter	Passed	Remaining
434	54406	8129
435	54538	8005
436	54683	7883
437	54821	7760
438	54947	7635
439	55076	7510
440	55209	7386
441	55348	7262
442	55479	7138
443	55624	7015
444	55757	6891
445	55887	6766
446	56007	6640
447	56129	6515
448	56284	6393
449	56442	6271
450	56582	6147
451	56703	6021
452	56833	5896
453	56966	5771
454	57105	5647
455	57273	5526
456	57416	5402
457	57558	5278
458	57682	5152
459	57812	5027
460	57939	4901
461	58072	4776
462	58203	4651
463	58333	4525
464	58463	4400
465	58599	4275
466	58730	4150
467	58853	4024
468	58978	3898
469	59111	3773
470	59232	3646
471	59359	3521
472	59495	3396
473	59623	3270
474	59716	3142
475	59808	3015
476	59912	2888
477	60014	2762
478	60104	2635
479	60195	2508
480	60289	2381
481	60384	2255
482	60477	2128
483	60571	2002
484	60665	1876
485	60754	1750
486	60842	1624
487	60941	1498
488	61026	1372
489	61122	1247
490	61209	1121
491	61303	996
492	61394	871
493	61488	746
494	61580	622
495	61686	497
496	61785	372
497	61886	248
498	61982	124
499	62072	0
