iter	Logloss
339	0.3355895502
340	0.3354770463
341	0.3353764641
342	0.3352639707
343	0.3351414629
344	0.3350623892
345	0.3348955754
346	0.3348395797
347	0.3347549139
348	0.3346534795
349	0.3345451203
350	0.3344292064
351	0.334310211
352	0.3342362588
353	0.3341548705
354	0.334087182
355	0.3340192263
356	0.3339389421
357	0.3338688288
358	0.3337683692
359	0.3336746385
360	0.3335874197
361	0.3334542866
362	0.3333941883
363	0.3333014878
364	0.3332348904
365	0.333129311
366	0.3330386587
367	0.3329736564
368	0.3328308153
369	0.3328108122
370	0.3327399613
371	0.3326612344
372	0.3325244266
373	0.3324835828
374	0.3324083465
375	0.3323302214
376	0.3322557402
377	0.3321960453
378	0.3321521993
379	0.3320817012
380	0.3319883559
381	0.3318864859
382	0.3318287212
383	0.3317519401
384	0.3316834352
385	0.3316291947
386	0.3315778045
387	0.3314816623
388	0.3313545122
389	0.3312139832
390	0.3310834032
391	0.3310064913
392	0.3308996953
393	0.3308087386
394	0.3306827795
395	0.330578519
396	0.3304831078
397	0.3303787037
398	0.3303091864
399	0.3302424747
400	0.3301119005
401	0.3300462723
402	0.3299353742
403	0.3298047945
404	0.3297182186
405	0.3296499046
406	0.3295846497
407	0.3294640197
408	0.3293913196
409	0.3293265533
410	0.3291910433
411	0.3291310359
412	0.329018914
413	0.3289352466
414	0.3288461686
415	0.3287783231
416	0.3286408441
417	0.3285541433
418	0.3284185492
419	0.3283707508
420	0.3282824425
421	0.3281999809
422	0.3280857549
423	0.3280216576
424	0.3278910865
425	0.3277843123
426	0.3276814976
427	0.3275695455
428	0.3275275539
429	0.3274278099
430	0.327350495
431	0.3272891882
432	0.3271995199
433	0.3271133477
434	0.3269761959
435	0.3268889587
436	0.3267800262
437	0.3266732989
438	0.3265736728
439	0.3264923008
440	0.3263965874
441	0.3262945288
442	0.3262206465
443	0.3261406215
444	0.3260513004
445	0.3259788074
446	0.3259191721
447	0.3258141917
448	0.32570322
449	0.3256291376
450	0.3255546765
451	0.3254548872
452	0.3253514593
453	0.3252687587
454	0.3251712606
455	0.3250222962
456	0.3249631596
457	0.3248534331
458	0.3247575779
459	0.3246922176
460	0.3246147734
461	0.3245584687
462	0.3244708471
463	0.324347674
464	0.3242591182
465	0.3241434899
466	0.3240273525
467	0.3239778545
468	0.3238989809
469	0.3237892594
470	0.3237393014
471	0.3236616809
472	0.3235477555
473	0.3234615777
474	0.3233980374
475	0.3232880649
476	0.3232014887
477	0.3230417963
478	0.3229687689
479	0.3228880912
480	0.3227941361
481	0.3227250651
482	0.3226527997
483	0.3225889689
484	0.3225054961
485	0.3224322939
486	0.3223665657
487	0.3223169807
488	0.3222547449
489	0.3221473803
490	0.3220614059
491	0.3219817259
492	0.3218752473
493	0.3217796671
494	0.3216727572
495	0.3216071817
496	0.321524423
497	0.3214552653
498	0.3213513744
499	0.3212559916
